question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
120116,64863,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,955,rv,rv,Online,U.S. President,0,,3/13/20,3/16/20,,"",false,,,false,false,3/17/20 09:34,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_17_2020.pdf,general,Trump,Donald Trump,REP,39.0
120085,64850,2020,,1554,RMG Research,358,One America News Network,RMG Research,555,RMG Research,,1000,rv,rv,Online,U.S. President,0,,3/13/20,3/15/20,,"",false,,,false,false,3/16/20 18:08,"",https://www.oann.com/npo-survey/,general,Biden,Joseph R. Biden Jr.,DEM,47.0
120085,64850,2020,,1554,RMG Research,358,One America News Network,RMG Research,555,RMG Research,,1000,rv,rv,Online,U.S. President,0,,3/13/20,3/15/20,,"",false,,,false,false,3/16/20 18:08,"",https://www.oann.com/npo-survey/,general,Trump,Donald Trump,REP,43.0
120086,64850,2020,,1554,RMG Research,358,One America News Network,RMG Research,555,RMG Research,,1000,rv,rv,Online,U.S. President,0,,3/13/20,3/15/20,,"",false,,,false,false,3/16/20 18:08,"",https://www.oann.com/npo-survey/,general,Sanders,Bernard Sanders,DEM,45.0
120086,64850,2020,,1554,RMG Research,358,One America News Network,RMG Research,555,RMG Research,,1000,rv,rv,Online,U.S. President,0,,3/13/20,3/15/20,,"",false,,,false,false,3/16/20 18:08,"",https://www.oann.com/npo-survey/,general,Trump,Donald Trump,REP,45.0
120102,64861,2020,,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B/C,9979,rv,rv,Online,U.S. President,0,,3/11/20,3/15/20,,"",false,,,false,false,3/17/20 05:56,,https://morningconsult.com/2020-democratic-primary/,general,Biden,Joseph R. Biden Jr.,DEM,48.0
120102,64861,2020,,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B/C,9979,rv,rv,Online,U.S. President,0,,3/11/20,3/15/20,,"",false,,,false,false,3/17/20 05:56,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,42.0
120103,64861,2020,,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B/C,9979,rv,rv,Online,U.S. President,0,,3/11/20,3/15/20,,"",false,,,false,false,3/17/20 05:56,,https://morningconsult.com/2020-democratic-primary/,general,Sanders,Bernard Sanders,DEM,47.0
120103,64861,2020,,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B/C,9979,rv,rv,Online,U.S. President,0,,3/11/20,3/15/20,,"",false,,,false,false,3/17/20 05:56,,https://morningconsult.com/2020-democratic-primary/,general,Trump,Donald Trump,REP,42.0
120056,64841,2020,Arizona,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,2523,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/15/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_AZ-NOS-and-Tables_2003160825.pdf,general,Biden,Joseph R. Biden Jr.,DEM,47.0
120056,64841,2020,Arizona,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,2523,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/15/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_AZ-NOS-and-Tables_2003160825.pdf,general,Trump,Donald Trump,REP,46.0
120057,64841,2020,Arizona,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,2523,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/15/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_AZ-NOS-and-Tables_2003160825.pdf,general,Sanders,Bernard Sanders,DEM,45.0
120057,64841,2020,Arizona,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,2523,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/15/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_AZ-NOS-and-Tables_2003160825.pdf,general,Trump,Donald Trump,REP,48.0
120034,64835,2020,Arizona,320,Monmouth University,"","",Monmouth University,215,Monmouth University,A+,847,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/14/20,,"",false,,,false,false,3/16/20 06:56,"",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_az_031620.pdf/,general,Biden,Joseph R. Biden Jr.,DEM,46.0
120034,64835,2020,Arizona,320,Monmouth University,"","",Monmouth University,215,Monmouth University,A+,847,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/14/20,,"",false,,,false,false,3/16/20 06:56,"",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_az_031620.pdf/,general,Trump,Donald Trump,REP,43.0
120035,64835,2020,Arizona,320,Monmouth University,"","",Monmouth University,215,Monmouth University,A+,847,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/14/20,,"",false,,,false,false,3/16/20 06:57,"",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_az_031620.pdf/,general,Sanders,Bernard Sanders,DEM,43.0
120035,64835,2020,Arizona,320,Monmouth University,"","",Monmouth University,215,Monmouth University,A+,847,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/14/20,,"",false,,,false,false,3/16/20 06:57,"",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_az_031620.pdf/,general,Trump,Donald Trump,REP,44.0
120031,64834,2020,,335,NBC News/Wall Street Journal,"","",NBC News/Wall Street Journal,221,NBC News/Wall Street Journal,A/B,900,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/13/20,,"",false,,,false,false,3/15/20 08:54,,https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,general,Biden,Joseph R. Biden Jr.,DEM,52.0
120031,64834,2020,,335,NBC News/Wall Street Journal,"","",NBC News/Wall Street Journal,221,NBC News/Wall Street Journal,A/B,900,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/13/20,,"",false,,,false,false,3/15/20 08:54,,https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,general,Trump,Donald Trump,REP,43.0
120032,64834,2020,,335,NBC News/Wall Street Journal,"","",NBC News/Wall Street Journal,221,NBC News/Wall Street Journal,A/B,900,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/13/20,,"",false,,,false,false,3/15/20 08:54,,https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,general,Sanders,Bernard Sanders,DEM,49.0
120032,64834,2020,,335,NBC News/Wall Street Journal,"","",NBC News/Wall Street Journal,221,NBC News/Wall Street Journal,A/B,900,rv,rv,Live Phone,U.S. President,0,,3/11/20,3/13/20,,"",false,,,false,false,3/15/20 08:54,,https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,general,Trump,Donald Trump,REP,45.0
120054,64840,2020,Ohio,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,1710,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/13/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_OH-NOS-and-Tables_2003150954.pdf,general,Biden,Joseph R. Biden Jr.,DEM,49.0
120054,64840,2020,Ohio,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,1710,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/13/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_OH-NOS-and-Tables_2003150954.pdf,general,Trump,Donald Trump,REP,45.0
120055,64840,2020,Ohio,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,1710,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/13/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_OH-NOS-and-Tables_2003150954.pdf,general,Sanders,Bernard Sanders,DEM,48.0
120055,64840,2020,Ohio,1205,Marist College,132,NBC News,Marist College,183,Marist College,A+,1710,rv,rv,Live Phone,U.S. President,0,,3/10/20,3/13/20,,"",false,,,false,false,3/16/20 12:00,,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NBC-News_Marist-Poll_OH-NOS-and-Tables_2003150954.pdf,general,Trump,Donald Trump,REP,46.0
120061,64842,2020,Florida,1379,Latino Decisions,38,Univision,Latino Decisions,482,Latino Decisions,,1071,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/12/20,,"",false,,,false,false,3/16/20 12:07,,https://st1.uvnimg.com/11/92/701333304b6daa2b6b01e98571db/univisionpolling-march-florida-statewide-final.pdf,general,Biden,Joseph R. Biden Jr.,DEM,45.0
120061,64842,2020,Florida,1379,Latino Decisions,38,Univision,Latino Decisions,482,Latino Decisions,,1071,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/12/20,,"",false,,,false,false,3/16/20 12:07,,https://st1.uvnimg.com/11/92/701333304b6daa2b6b01e98571db/univisionpolling-march-florida-statewide-final.pdf,general,Trump,Donald Trump,REP,48.0
120062,64842,2020,Florida,1379,Latino Decisions,38,Univision,Latino Decisions,482,Latino Decisions,,1071,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/12/20,,"",false,,,false,false,3/16/20 12:07,,https://st1.uvnimg.com/11/92/701333304b6daa2b6b01e98571db/univisionpolling-march-florida-statewide-final.pdf,general,Sanders,Bernard Sanders,DEM,42.0
120062,64842,2020,Florida,1379,Latino Decisions,38,Univision,Latino Decisions,482,Latino Decisions,,1071,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/12/20,,"",false,,,false,false,3/16/20 12:07,,https://st1.uvnimg.com/11/92/701333304b6daa2b6b01e98571db/univisionpolling-march-florida-statewide-final.pdf,general,Trump,Donald Trump,REP,49.0
119955,64807,2020,Wisconsin,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1727,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/WisconsinGeneralResults.pdf,general,Biden,Joseph R. Biden Jr.,DEM,48.0
119955,64807,2020,Wisconsin,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1727,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/WisconsinGeneralResults.pdf,general,Trump,Donald Trump,REP,45.0
119956,64807,2020,Wisconsin,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1727,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/WisconsinGeneralResults.pdf,general,Sanders,Bernard Sanders,DEM,48.0
119956,64807,2020,Wisconsin,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1727,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/WisconsinGeneralResults.pdf,general,Trump,Donald Trump,REP,46.0
119957,64808,2020,Kansas,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1567,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/KansasResults.pdf,general,Biden,Joseph R. Biden Jr.,DEM,40.0
119957,64808,2020,Kansas,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1567,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/KansasResults.pdf,general,Trump,Donald Trump,REP,52.0
119958,64808,2020,Kansas,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1567,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/KansasResults.pdf,general,Sanders,Bernard Sanders,DEM,40.0
119958,64808,2020,Kansas,383,Public Policy Polling,"","",Public Policy Polling,263,Public Policy Polling,B,1567,v,v,IVR/Text,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 08:35,,https://www.publicpolicypolling.com/wp-content/uploads/2020/03/KansasResults.pdf,general,Trump,Donald Trump,REP,52.0
119975,64812,2020,,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,1240,rv,rv,Online,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 16:45,,https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,general,Biden,Joseph R. Biden Jr.,DEM,45.0
119975,64812,2020,,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,1240,rv,rv,Online,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 16:45,,https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,general,Trump,Donald Trump,REP,41.0
119976,64812,2020,,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,1242,rv,rv,Online,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 16:45,,https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,general,Sanders,Bernard Sanders,DEM,45.0
119976,64812,2020,,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,1242,rv,rv,Online,U.S. President,0,,3/10/20,3/11/20,,"",false,,,false,false,3/12/20 16:45,,https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,general,Trump,Donald Trump,REP,42.0
119961,64810,2020,,1447,Civiqs,185,Daily Kos,Civiqs,471,Civiqs,,1441,rv,rv,Online,U.S. President,0,,3/8/20,3/11/20,,"",false,,,false,false,3/12/20 12:41,,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03_y54g2h2.pdf,general,Sanders,Bernard Sanders,DEM,49.0
119961,64810,2020,,1447,Civiqs,185,Daily Kos,Civiqs,471,Civiqs,,1441,rv,rv,Online,U.S. President,0,,3/8/20,3/11/20,,"",false,,,false,false,3/12/20 12:41,,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03_y54g2h2.pdf,general,Trump,Donald Trump,REP,46.0
119962,64810,2020,,1447,Civiqs,185,Daily Kos,Civiqs,471,Civiqs,,1441,rv,rv,Online,U.S. President,0,,3/8/20,3/11/20,,"",false,,,false,false,3/12/20 12:41,,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03_y54g2h2.pdf,general,Biden,Joseph R. Biden Jr.,DEM,48.0
119962,64810,2020,,1447,Civiqs,185,Daily Kos,Civiqs,471,Civiqs,,1441,rv,rv,Online,U.S. President,0,,3/8/20,3/11/20,,"",false,,,false,false,3/12/20 12:41,,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03_y54g2h2.pdf,general,Trump,Donald Trump,REP,46.0
119992,64820,2020,Arizona,1379,Latino Decisions,"38,501",Univision | Arizona State,Latino Decisions,482,Latino Decisions,,1036,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/11/20,,"",false,,,false,false,3/13/20 09:58,,https://st1.uvnimg.com/07/2e/d0d9a91c4000996d8bcc95b85319/univisionpolling-march-arizona.pdf,general,Biden,Joseph R. Biden Jr.,DEM,50.0
119992,64820,2020,Arizona,1379,Latino Decisions,"38,501",Univision | Arizona State,Latino Decisions,482,Latino Decisions,,1036,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/11/20,,"",false,,,false,false,3/13/20 09:58,,https://st1.uvnimg.com/07/2e/d0d9a91c4000996d8bcc95b85319/univisionpolling-march-arizona.pdf,general,Trump,Donald Trump,REP,42.0
119993,64820,2020,Arizona,1379,Latino Decisions,"38,501",Univision | Arizona State,Latino Decisions,482,Latino Decisions,,1036,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/11/20,,"",false,,,false,false,3/13/20 09:58,,https://st1.uvnimg.com/07/2e/d0d9a91c4000996d8bcc95b85319/univisionpolling-march-arizona.pdf,general,Sanders,Bernard Sanders,DEM,48.0
119993,64820,2020,Arizona,1379,Latino Decisions,"38,501",Univision | Arizona State,Latino Decisions,482,Latino Decisions,,1036,rv,rv,Live Phone/Online/Text,U.S. President,0,,3/6/20,3/11/20,,"",false,,,false,false,3/13/20 09:58,,https://st1.uvnimg.com/07/2e/d0d9a91c4000996d8bcc95b85319/univisionpolling-march-arizona.pdf,general,Trump,Donald Trump,REP,43.0
119900,64794,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B-,1191,rv,rv,Online,U.S. President,0,,3/8/20,3/10/20,11/3/20,"",false,,,false,false,3/11/20 09:14,,https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,general,Biden,Joseph R. Biden Jr.,DEM,47.0
119900,64794,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B-,1191,rv,rv,Online,U.S. President,0,,3/8/20,3/10/20,11/3/20,"",false,,,false,false,3/11/20 09:14,,https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,general,Trump,Donald Trump,REP,43.0
119901,64794,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B-,1191,rv,rv,Online,U.S. President,0,,3/8/20,3/10/20,11/3/20,"",false,,,false,false,3/11/20 09:14,,https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,general,Sanders,Bernard Sanders,DEM,47.0
119901,64794,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B-,1191,rv,rv,Online,U.S. President,0,,3/8/20,3/10/20,11/3/20,"",false,,,false,false,3/11/20 09:14,,https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,general,Trump,Donald Trump,REP,43.0
119842,64774,2020,Michigan,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/7/20,3/9/20,11/3/20,"",false,,,false,false,3/9/20 22:41,,https://projects.fivethirtyeight.com/polls/20200309_MI.pdf,general,Sanders,Bernard Sanders,DEM,45.5
119842,64774,2020,Michigan,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/7/20,3/9/20,11/3/20,"",false,,,false,false,3/9/20 22:41,,https://projects.fivethirtyeight.com/polls/20200309_MI.pdf,general,Trump,Donald Trump,REP,43.4
119843,64774,2020,Michigan,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/7/20,3/9/20,11/3/20,"",false,,,false,false,3/9/20 22:41,,https://projects.fivethirtyeight.com/polls/20200309_MI.pdf,general,Biden,Joseph R. Biden Jr.,DEM,44.1
119843,64774,2020,Michigan,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,3/7/20,3/9/20,11/3/20,"",false,,,false,false,3/9/20 22:41,,https://projects.fivethirtyeight.com/polls/20200309_MI.pdf,general,Trump,Donald Trump,REP,45.5
119875,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1114,a,a,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,39.0
119875,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1114,a,a,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Trump,Donald Trump,REP,39.0
119876,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,956,rv,rv,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Biden,Joseph R. Biden Jr.,DEM,44.0
119876,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,956,rv,rv,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Trump,Donald Trump,REP,42.0
119877,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1114,a,a,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Sanders,Bernard Sanders,DEM,40.0
119877,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1114,a,a,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Trump,Donald Trump,REP,39.0
119878,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,956,rv,rv,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Sanders,Bernard Sanders,DEM,43.0
119878,64771,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,956,rv,rv,Online,U.S. President,0,,3/6/20,3/9/20,11/3/20,"",false,,,false,false,3/10/20 12:08,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_09_2020.pdf,general,Trump,Donald Trump,REP,42.0
119814,64766,2020,Michigan,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,566,rv,rv,Online,U.S. President,0,,3/6/20,3/8/20,11/3/20,"",false,,,false,false,3/9/20 14:12,,https://docs.cdn.yougov.com/fwvdnnbigm/20200308_yahoo_primary_crosstabs.pdf,general,Biden,Joseph R. Biden Jr.,DEM,45.0
119814,64766,2020,Michigan,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B-,566,rv,rv,Online,U.S. President,0,,3/6/20,3/8/20,11/3/20,"",false,,,false,false,3/9/20 14:12,,https://docs.cdn.yougov.com/fwvdnnbigm/20200308_yahoo_primary_crosstabs.pdf,general,Trump,Donald Trump,REP,41.0
