Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
1479923688811438,Geothermal,Geothermal Exchange Organization,50418,62
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,50084,576
46093654473,National Republican Congressional Committee,NRCC,49532,112
357750373755,National Domestic Workers Alliance,National Domestic Workers Alliance,49402,86
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,49390,76
897994503631860,HealthInsurance.net,These ads ran without a disclaimer,49376,186
114392709950055,AZ Census 2020,AZ Census 2020,49292,263
350316025478383,When We All Vote,When We All Vote,48847,831
18479402361,No Kid Hungry,No Kid Hungry,48840,1315
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,48217,300
106294260864581,Clean Energy Transition Project,Clean Energy Transition Project,48077,37
2078647579047586,Project Pulso,Project Pulso,47590,312
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,47483,11
101464861365288,Americans Networking Together,Lucy  Tran,47073,128
1470486296612700,Kim Foxx for Cook County State's Attorney,Friends for Foxx,46801,16
133666160060982,Senate Majority PAC,SMP,46578,8
1502654549792632,Protect Our Care,Sixteen Thirty Fund,46528,35
19972147679,SEIU,SEIU,45790,131
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,45656,17
250109519027212,Enhance Our Energy Infrastructure,NJ LECET,45611,45
213792049451918,Stand For America Now,Stand For America Inc,45200,54
170582513587720,Liberty Through Wealth,The Oxford Club,45046,43
1447994318779650,AirMedCare Network,AIrMedCare Network,44706,45
1590965647784736,CWA District 1,CWA District 1,44242,32
580610428636345,Fight for $15,Fight for $15,43834,178
49651563727,Live Action,Live Action,43512,81
465483726908192,iVote,IVote Civic Education Fund,43439,104
107478604080028,Way To A Happy Heart,Iesha Marriah Nixon,43061,13
8321461609,MomsRising.org,MomsRising Education Fund,42811,58
112211450352193,Illinois Justice & Public Safety PAC,Illinois Justice & Public Safety PAC,42689,2
117580534956446,Kellogg's Frosted Flakes,Kellogg Company,42023,2
100137754724934,Trump 2020 Supporters,Proud Right Winger,41611,124
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",41418,357
1495042817173727,Marie Newman,MARIE NEWMAN FOR CONGRESS,41319,103
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,40837,70
393932827634250,Dissent Pins,Common Practice,40630,125
108736064097262,American Family Programs,Penelope Mylynn Nguyen,40571,21
69039563201,Open Doors USA,"OPEN DOORS WITH BROTHER ANDREW, INC.",40267,349
112621057029615,Stay Home Save Lives,"Stay Home, Save Lives",39737,94
88048989460,California Teachers Association,California Teachers Association,39682,47
121626482110,Operation Smile,"OPERATION SMILE, INC.",39668,151
111428049989,Cal Cunningham,CAL FOR NC,39487,727
1799282383731277,TwoSeventy,Alexander Jared Deutsch,38540,47
23875187730,Feeding America,Feeding America,38320,166
6236054211,Brady,Brady Campaign to Prevent Gun Violence,38208,67
2185993931653388,The Recount,"Recount Media, Inc",37774,118
114392709950055,AZ Census 2020,These ads ran without a disclaimer,37617,144
105931860948140,Seniors Helping Seniors,These ads ran without a disclaimer,37382,1842
123963360928,SiriusXM,SiriusXM,37268,10
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,37173,155
1470540296409810,Fair Fight Action,Fair Fight,37054,3
97830335456,Patagonia,"PATAGONIA, INC.",37020,162
110130647164439,Tonight's News,Ibrahim Oloko,36831,351
193618220508,LIFE Today,LIFE Outreach International,36811,15
416991872213134,Iowa Voices,Iowa Forward,36598,6
338530640123780,Irresistible,Focus Features,36517,3
383877235817031,Keep America Great,Keep America Great,36339,94
119541038076789,United States University,These ads ran without a disclaimer,36309,7
2524348974282124,Piedmont Rising,Piedmont Rising,36203,19
410353089720802,Santa Clara County - Office of the Census,"County of Santa Clara, Office of the Census",36195,13
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,36005,96
104259624495026,Term Limits Super PAC,Term Limits SuperPAC,35822,23
169130743498585,Tactical Pro Supply,Chad Keller,35815,42
187560865294701,Florida Phoenix News,Florida Phoenix,35803,167
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,35783,100
237477017606,Club for Growth,Club for Growth,35736,21
7833534974,Florida Democratic Party,Florida Democratic Party,35588,55
598924810530984,Keeping America Great,FamTeeWorld,35568,5
151485624911761,NYC Mayor's Office,City of New York,35554,310
236369846383459,Congressional Black Caucus PAC,Congressional Black Caucus PAC,35439,79
14440196673,Teamsters,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,34778,18
110061623807565,Kelly Loeffler,Georgians for Kelly,34536,99
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",34527,281
1691667177798461,Brut,Brut,34521,275
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Support Fund Inc,34251,75
36474716066,Color Of Change,COLOROFCHANGE.ORG,34142,84
71966175060,NC Policy Watch,NC Policy Watch,33906,206
43287633515,Alliance for Climate Education,Alliance for Climate Education,33637,83
493747700758477,Airbnb Citizen,"AIRBNB, INC.",33360,5
102540204580217,UpNorthNews,Courier Newsroom,33043,45
329272720965256,GALvanize USA,GALvanize USA,32967,826
146716918692692,AFP-Wisconsin,AMERICANS FOR PROSPERITY,32911,16
201470373308396,BMO Harris Bank,Shelley L Johnsen,32823,22
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,32592,207
121358125934736,Move Forward - Yes on 7,The Move Forward PAC,32387,7
100145544831970,Opportunity Wisconsin,Opportunity Wisconsin,32267,17
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,31920,138
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,31865,267
22877548156,Earth Day Network,EARTH DAY NETWORK INC,31626,180
15687409793,World Wildlife Fund,World Wildlife Fund,31539,141
115379705206001,U.S. Department of Homeland Security Blue Campaign,DHS Blue Campaign,31464,59
144146925626575,End of Life Washington,End of Life Washington,31440,4
385473284886474,Hillsdale College,HILLSDALE COLLEGE,31339,239
101568761447230,Compensation Experts USA,Injury Compensation Center,31256,53
1600352356914768,PushBlack,PushBlack,30982,264
104113087669604,Opportunity Arizona,Opportunity Arizona,30949,38
114710126648118,Republican Dogs,Republican Dogs,30813,235
709046012792616,National Audubon Society Action Fund,National Audubon Society Action Fund,30752,106
168051710543266,Friends of Lacy Johnson,Lacy Johnson for Congress,30736,98
530348937023274,Connie Pillich,Friends of Connie Pillich,30613,8
27544763621,Prison Fellowship,Prison Fellowship,29942,504
328633577711956,Alabama Counts,AL Census 2020,29926,251
110304423857607,Patriot Wear,Brandon Kyle Fink,29827,2207
182193211815005,Issue One,Issue One,29795,46
2225580284361712,Tommy Tuberville,"TUBERVILLE FOR SENATE, INC.",29725,153
622035304631062,Cox for Governor,Cox for Governor,29551,70
46728126663,Celestial Seasonings,These ads ran without a disclaimer,29417,1
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,29377,122
1852520761657982,4ocean,4ocean,29278,4
19746387261,Humane Society International,Humane Society International,29242,23
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,29218,170
201847089929522,Wisconsin Voices,Wisconsin Voices,29208,64
419237048158257,Susan Collins,COLLINS FOR SENATOR,29047,24
623339164538852,National Security Action,Nationalsecurityaction.org,28991,36
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,28902,14
111929803714895,SN Research,Story Network Foundation,28832,13
70795936969,Children International,CHILDREN INTERNATIONAL,28637,39
109630297263137,Wisconsin News Now,Opportunity Wisconsin,28559,10
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,28513,57
22085921165,Mayor Bill de Blasio,City of New York,28425,17
312130646398669,Georgia Recorder,Georgia Recorder,28379,128
309993142375589,Joe Kennedy III,KENNEDY FOR MASSACHUSETTS,28348,1974
101315098149432,The Permian Counts,"Permian Strategic Partnership, Inc.",28322,79
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",28227,360
613025455812051,Child Abuse Victims Lawsuit Information,Law Scout,28123,4
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",28085,9
89660729827,National Wildlife Federation Action Fund,NATIONAL WILDLIFE FEDERATION ACTION FUND,28006,93
237105299784007,Our Health California,Our Health California,27999,37
1836138529938551,Greater Half,Greater Half,27964,656
656263988182462,Bill Hagerty,TEAM HAGERTY,27756,95
83290028957,Care Net,CARE NET,27571,214
347978955534783,Solcius,Solcius,27339,271
126660277417565,Engage Michigan,Engage Michigan,27169,28
102389457864860,Treehuggers Bracelets,ECOMX LLC,26994,41
102330281223041,Tradewater,"Tradewater, LLC",26704,36
13063797831,Ben Ray Luján,PEOPLE FOR BEN,26687,117
1037157259782946,Colorado Way,The Story of Us,26519,68
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,26434,60
313068322899643,Fair Count,FAIR COUNT INC,26398,4
138920486202280,VOTE411,League of Women Voters Education Fund,26194,216
9132102354,E*TRADE Financial,E*TRADE,26190,6
109742407314234,Restoration Action,Restoration Action,26087,36
1394539157425140,First Lady Chirlane McCray,City of New York,26071,10
160389977329803,ATTN:,ATTN: INC.,26026,46
582170821830199,OhmConnect,"OhmConnect, Inc.",26014,22
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,25915,194
1905515863109983,Power In Cooperation,ConocoPhillips,25832,130
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",25698,157
1438808983108348,BOLD PAC,CHC BOLD PAC,25526,45
191817486024,60 Plus Association,60 PLUS ASSOCIATION INC,25521,24
167819383282739,ProgressVA,Progress Now,25505,69
714650911882329,RSCC,Republican Senate Campaign Committee,25482,36
253153019746,Eric Greitens,Greitens for Missouri,25405,9
342887442508723,Convention of States,Convention of States Action,25361,22
944580302249505,NYC Human Resources Administration,NYC Human Resources Administration,25299,23
100195511560092,Injury Compensation Center,Injury Compensation Center,25238,62
142665849854371,House Freedom,HOUSE FREEDOM FUND,25200,11
884081075319643,Morgan Harper for Congress,MORGAN HARPER FOR CONGRESS,25067,100
151525932186806,When Democrats Turn Out,WHEN DEMOCRATS TURN OUT PAC,25051,11
321275377976909,The People's Lobby,VOTE LIBERATION,25000,112
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,24889,45
101432317199,Blue Cross and Blue Shield Association,BLUE CROSS AND BLUE SHIELD ASSOCIATION,24856,3
2385326588383789,Move Health Care Forward NJ,Move Health Care Forward NJ Inc,24666,78
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,24639,75
102779481300964,Car Journal update,Mabel None Suazo,24617,167
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,24551,262
105224084193838,Mike Cabonargi for Clerk of the Circuit Courts,Friends of Cabonargi,24151,4
179635202492,Horizon Organic,These ads ran without a disclaimer,24122,2
96171427550,Raja for Congress,FRIENDS OF RAJA FOR CONGRESS,24005,28
1179947005448206,Own It Voice It,"RAI Services Company, a subsidiary of Reynolds American Inc.",23988,87
130467958471,Jason Lewis,Jason Lewis for Senate,23946,26
6279167307,Easterseals,Easterseals,23771,23
101383508020332,Flexhealthplan,FlexHealthPlan,23755,64
1983690128350294,Judge Lisa Neubauer,Re-elect Judge Lisa Neubauer,23721,10
107589664099282,Stand Up To China,"Stand Up To China, Inc.",23679,81
108683323959169,Watercooler Politics,Organize for Justice,23678,103
533347293669517,Great American Era,Great American Era,23597,24
578692095955262,Protect the Promise,Protect the Promise,23529,46
212383329324759,Dan Lipinski for Congress,DAN LIPINSKI FOR CONGRESS,23481,61
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Federal PAC,23454,2106
161453087348302,The Committee to Defend the President,THE COMMITTEE TO DEFEND THE PRESIDENT,23300,56
7962229886,Environmental Working Group,ENVIRONMENTAL WORKING GROUP,23268,393
108147600393,Equality California,Equality California,23159,93
102617961152741,Barbara Bollier,Bollier for Kansas,23105,16
2284034041921092,Coalition For Consumer Choices,Coalition For Consumer Choices,23044,31
1610834479233860,Fight For Reform,End Citizens United Non-federal,23042,20
256304286535,UPMC,UPMC,23034,10
1721333671443168,Majority Forward,MAJORITY FORWARD,22929,3
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,22886,76
1029414573827063,Fight Back,Fight Back Fund,22872,16
202851657003895,We Are PA,The Story of Us,22835,80
1389807071117013,Lynn Afendoulis,Lynn Afendoulis for Congress,22767,103
128167457221813,Public Transportation,Voices for Public Transit,22747,72
100852874648291,Mighty Michigan,American Culture,22728,25
679171239164792,Supermajority,Supermajority Education Fund,22665,89
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",22626,54
9364828262,Citizens Against Government Waste,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,22518,20
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),22406,90
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,22299,23
23996308754,Senate Conservatives,SENATE CONSERVATIVES FUND,22237,32
439466446237183,Retirement You Workshops,Retirement You,22214,267
263891677826490,Earthsider,These ads ran without a disclaimer,22086,36
408250066356,Bill O'Reilly,"Bill Me, Inc.",22059,14
104567660952584,Macomb for Kids,Macomb For Kids,21978,114
143729616392084,Van Drew for Congress,Van Drew for Congress,21946,42
373981446795978,16 Counties Coalition,Maine Momentum,21938,130
